"location","year","sex","total"
"Albania",1987,"female",25
"Albania",1987,"male",48
"Albania",1988,"female",22
"Albania",1988,"male",41
"Albania",1989,"female",15
"Albania",1989,"male",53
"Albania",1992,"female",14
"Albania",1992,"male",33
"Albania",1993,"female",27
"Albania",1993,"male",46
"Albania",1994,"female",15
"Albania",1994,"male",35
"Albania",1995,"female",34
"Albania",1995,"male",54
"Albania",1996,"female",39
"Albania",1996,"male",50
"Albania",1997,"female",52
"Albania",1997,"male",118
"Albania",1998,"female",58
"Albania",1998,"male",96
"Albania",1999,"female",48
"Albania",1999,"male",91
"Albania",2000,"female",16
"Albania",2000,"male",38
"Albania",2001,"female",35
"Albania",2001,"male",84
"Albania",2002,"female",42
"Albania",2002,"male",91
"Albania",2003,"female",51
"Albania",2003,"male",73
"Albania",2004,"female",57
"Albania",2004,"male",89
"Albania",2005,"female",0
"Albania",2005,"male",0
"Albania",2006,"female",0
"Albania",2006,"male",0
"Albania",2007,"female",47
"Albania",2007,"male",77
"Albania",2008,"female",61
"Albania",2008,"male",99
"Albania",2009,"female",0
"Albania",2009,"male",0
"Albania",2010,"female",35
"Albania",2010,"male",61
"Antigua and Barbuda",1985,"female",0
"Antigua and Barbuda",1985,"male",0
"Antigua and Barbuda",1986,"female",0
"Antigua and Barbuda",1986,"male",0
"Antigua and Barbuda",1987,"female",0
"Antigua and Barbuda",1987,"male",0
"Antigua and Barbuda",1988,"female",0
"Antigua and Barbuda",1988,"male",0
"Antigua and Barbuda",1989,"female",0
"Antigua and Barbuda",1989,"male",0
"Antigua and Barbuda",1990,"female",0
"Antigua and Barbuda",1990,"male",1
"Antigua and Barbuda",1991,"female",0
"Antigua and Barbuda",1991,"male",0
"Antigua and Barbuda",1992,"female",0
"Antigua and Barbuda",1992,"male",0
"Antigua and Barbuda",1993,"female",0
"Antigua and Barbuda",1993,"male",1
"Antigua and Barbuda",1994,"female",0
"Antigua and Barbuda",1994,"male",0
"Antigua and Barbuda",1995,"female",0
"Antigua and Barbuda",1995,"male",0
"Antigua and Barbuda",1998,"female",0
"Antigua and Barbuda",1998,"male",0
"Antigua and Barbuda",1999,"female",0
"Antigua and Barbuda",1999,"male",0
"Antigua and Barbuda",2000,"female",0
"Antigua and Barbuda",2000,"male",2
"Antigua and Barbuda",2001,"female",0
"Antigua and Barbuda",2001,"male",2
"Antigua and Barbuda",2002,"female",0
"Antigua and Barbuda",2002,"male",0
"Antigua and Barbuda",2003,"female",0
"Antigua and Barbuda",2003,"male",1
"Antigua and Barbuda",2004,"female",0
"Antigua and Barbuda",2004,"male",2
"Antigua and Barbuda",2005,"female",0
"Antigua and Barbuda",2005,"male",0
"Antigua and Barbuda",2006,"female",0
"Antigua and Barbuda",2006,"male",0
"Antigua and Barbuda",2007,"female",0
"Antigua and Barbuda",2007,"male",1
"Antigua and Barbuda",2008,"female",0
"Antigua and Barbuda",2008,"male",0
"Antigua and Barbuda",2009,"female",0
"Antigua and Barbuda",2009,"male",0
"Antigua and Barbuda",2012,"female",0
"Antigua and Barbuda",2012,"male",0
"Antigua and Barbuda",2013,"female",0
"Antigua and Barbuda",2013,"male",0
"Antigua and Barbuda",2014,"female",0
"Antigua and Barbuda",2014,"male",0
"Antigua and Barbuda",2015,"female",1
"Antigua and Barbuda",2015,"male",0
"Argentina",1985,"female",538
"Argentina",1985,"male",1450
"Argentina",1986,"female",641
"Argentina",1986,"male",1643
"Argentina",1987,"female",686
"Argentina",1987,"male",1600
"Argentina",1988,"female",665
"Argentina",1988,"male",1689
"Argentina",1989,"female",606
"Argentina",1989,"male",1641
"Argentina",1990,"female",595
"Argentina",1990,"male",1545
"Argentina",1991,"female",499
"Argentina",1991,"male",1452
"Argentina",1992,"female",504
"Argentina",1992,"male",1680
"Argentina",1993,"female",493
"Argentina",1993,"male",1737
"Argentina",1994,"female",510
"Argentina",1994,"male",1731
"Argentina",1995,"female",504
"Argentina",1995,"male",1700
"Argentina",1996,"female",532
"Argentina",1996,"male",1697
"Argentina",1997,"female",539
"Argentina",1997,"male",1645
"Argentina",1998,"female",526
"Argentina",1998,"male",1821
"Argentina",1999,"female",493
"Argentina",1999,"male",1930
"Argentina",2000,"female",550
"Argentina",2000,"male",2224
"Argentina",2001,"female",676
"Argentina",2001,"male",2456
"Argentina",2002,"female",703
"Argentina",2002,"male",2459
"Argentina",2003,"female",684
"Argentina",2003,"male",2605
"Argentina",2004,"female",654
"Argentina",2004,"male",2467
"Argentina",2005,"female",664
"Argentina",2005,"male",2394
"Argentina",2006,"female",612
"Argentina",2006,"male",2496
"Argentina",2007,"female",600
"Argentina",2007,"male",2346
"Argentina",2008,"female",611
"Argentina",2008,"male",2448
"Argentina",2009,"female",584
"Argentina",2009,"male",2300
"Argentina",2010,"female",566
"Argentina",2010,"male",2377
"Argentina",2011,"female",583
"Argentina",2011,"male",2329
"Argentina",2012,"female",628
"Argentina",2012,"male",2620
"Argentina",2013,"female",589
"Argentina",2013,"male",2398
"Argentina",2014,"female",687
"Argentina",2014,"male",2544
"Argentina",2015,"female",604
"Argentina",2015,"male",2469
"Armenia",1990,"female",29
"Armenia",1990,"male",64
"Armenia",1991,"female",26
"Armenia",1991,"male",54
"Armenia",1992,"female",19
"Armenia",1992,"male",64
"Armenia",1993,"female",35
"Armenia",1993,"male",71
"Armenia",1994,"female",36
"Armenia",1994,"male",76
"Armenia",1995,"female",35
"Armenia",1995,"male",95
"Armenia",1996,"female",24
"Armenia",1996,"male",63
"Armenia",1997,"female",15
"Armenia",1997,"male",62
"Armenia",1998,"female",18
"Armenia",1998,"male",48
"Armenia",1999,"female",18
"Armenia",1999,"male",49
"Armenia",2000,"female",14
"Armenia",2000,"male",47
"Armenia",2001,"female",12
"Armenia",2001,"male",48
"Armenia",2002,"female",12
"Armenia",2002,"male",62
"Armenia",2003,"female",9
"Armenia",2003,"male",50
"Armenia",2006,"female",17
"Armenia",2006,"male",61
"Armenia",2007,"female",20
"Armenia",2007,"male",51
"Armenia",2008,"female",19
"Armenia",2008,"male",44
"Armenia",2009,"female",10
"Armenia",2009,"male",43
"Armenia",2010,"female",19
"Armenia",2010,"male",54
"Armenia",2011,"female",16
"Armenia",2011,"male",51
"Armenia",2012,"female",20
"Armenia",2012,"male",59
"Armenia",2013,"female",24
"Armenia",2013,"male",43
"Armenia",2014,"female",15
"Armenia",2014,"male",43
"Armenia",2015,"female",19
"Armenia",2015,"male",55
"Armenia",2016,"female",14
"Armenia",2016,"male",53
"Aruba",1995,"female",0
"Aruba",1995,"male",8
"Aruba",1999,"female",0
"Aruba",1999,"male",9
"Aruba",2000,"female",4
"Aruba",2000,"male",6
"Aruba",2001,"female",0
"Aruba",2001,"male",4
"Aruba",2002,"female",0
"Aruba",2002,"male",9
"Aruba",2003,"female",0
"Aruba",2003,"male",2
"Aruba",2004,"female",1
"Aruba",2004,"male",7
"Aruba",2005,"female",5
"Aruba",2005,"male",5
"Aruba",2006,"female",2
"Aruba",2006,"male",7
"Aruba",2007,"female",1
"Aruba",2007,"male",7
"Aruba",2008,"female",1
"Aruba",2008,"male",3
"Aruba",2009,"female",0
"Aruba",2009,"male",4
"Aruba",2010,"female",1
"Aruba",2010,"male",6
"Aruba",2011,"female",2
"Aruba",2011,"male",7
"Australia",1985,"female",425
"Australia",1985,"male",1436
"Australia",1986,"female",463
"Australia",1986,"male",1581
"Australia",1987,"female",437
"Australia",1987,"male",1727
"Australia",1988,"female",460
"Australia",1988,"male",1712
"Australia",1989,"female",424
"Australia",1989,"male",1642
"Australia",1990,"female",444
"Australia",1990,"male",1758
"Australia",1991,"female",482
"Australia",1991,"male",1806
"Australia",1992,"female",465
"Australia",1992,"male",1786
"Australia",1993,"female",398
"Australia",1993,"male",1640
"Australia",1994,"female",418
"Australia",1994,"male",1865
"Australia",1995,"female",459
"Australia",1995,"male",1711
"Australia",1996,"female",460
"Australia",1996,"male",1966
"Australia",1997,"female",557
"Australia",1997,"male",2089
"Australia",1998,"female",524
"Australia",1998,"male",2108
"Australia",1999,"female",489
"Australia",1999,"male",1999
"Australia",2000,"female",505
"Australia",2000,"male",1886
"Australia",2001,"female",522
