"country","year","sex","age","suicides_no","population","suicides.100k.pop","country.year","HDI.for.year","gdp_for_year....","gdp_per_capita....","generation","pop","suicide"
"Albania",1987,"male",15,21,312900,6.71,"Albania1987",NA,"2,156,624,900",796,"Generation X",3.129,0.021
"Albania",1987,"male",35,16,308000,5.19,"Albania1987",NA,"2,156,624,900",796,"Silent",3.08,0.016
"Albania",1987,"female",15,14,289700,4.83,"Albania1987",NA,"2,156,624,900",796,"Generation X",2.897,0.014
"Albania",1987,"male",75,1,21800,4.59,"Albania1987",NA,"2,156,624,900",796,"G.I. Generation",0.218,0.001
"Albania",1987,"male",25,9,274300,3.28,"Albania1987",NA,"2,156,624,900",796,"Boomers",2.743,0.009
"Albania",1987,"female",75,1,35600,2.81,"Albania1987",NA,"2,156,624,900",796,"G.I. Generation",0.356,0.001
"Albania",1987,"female",35,6,278800,2.15,"Albania1987",NA,"2,156,624,900",796,"Silent",2.788,0.006
"Albania",1987,"female",25,4,257200,1.56,"Albania1987",NA,"2,156,624,900",796,"Boomers",2.572,0.004
"Albania",1987,"male",55,1,137500,0.73,"Albania1987",NA,"2,156,624,900",796,"G.I. Generation",1.375,0.001
"Albania",1987,"female",5,0,311000,0,"Albania1987",NA,"2,156,624,900",796,"Generation X",3.11,0
"Albania",1987,"female",55,0,144600,0,"Albania1987",NA,"2,156,624,900",796,"G.I. Generation",1.446,0
"Albania",1987,"male",5,0,338200,0,"Albania1987",NA,"2,156,624,900",796,"Generation X",3.382,0
"Albania",1988,"female",75,2,36400,5.49,"Albania1988",NA,"2,126,000,000",769,"G.I. Generation",0.364,0.002
"Albania",1988,"male",15,17,319200,5.33,"Albania1988",NA,"2,126,000,000",769,"Generation X",3.192,0.017
"Albania",1988,"male",75,1,22300,4.48,"Albania1988",NA,"2,126,000,000",769,"G.I. Generation",0.223,0.001
"Albania",1988,"male",35,14,314100,4.46,"Albania1988",NA,"2,126,000,000",769,"Silent",3.141,0.014
"Albania",1988,"male",55,4,140200,2.85,"Albania1988",NA,"2,126,000,000",769,"G.I. Generation",1.402,0.004
"Albania",1988,"female",15,8,295600,2.71,"Albania1988",NA,"2,126,000,000",769,"Generation X",2.956,0.008
"Albania",1988,"female",55,3,147500,2.03,"Albania1988",NA,"2,126,000,000",769,"G.I. Generation",1.475,0.003
"Albania",1988,"female",25,5,262400,1.91,"Albania1988",NA,"2,126,000,000",769,"Boomers",2.624,0.005
"Albania",1988,"male",25,5,279900,1.79,"Albania1988",NA,"2,126,000,000",769,"Boomers",2.799,0.005
"Albania",1988,"female",35,4,284500,1.41,"Albania1988",NA,"2,126,000,000",769,"Silent",2.845,0.004
"Albania",1988,"female",5,0,317200,0,"Albania1988",NA,"2,126,000,000",769,"Generation X",3.172,0
"Albania",1988,"male",5,0,345000,0,"Albania1988",NA,"2,126,000,000",769,"Generation X",3.45,0
"Albania",1989,"male",75,2,22500,8.89,"Albania1989",NA,"2,335,124,988",833,"G.I. Generation",0.225,0.002
"Albania",1989,"male",25,18,283600,6.35,"Albania1989",NA,"2,335,124,988",833,"Boomers",2.836,0.018
"Albania",1989,"male",35,15,318400,4.71,"Albania1989",NA,"2,335,124,988",833,"Silent",3.184,0.015
"Albania",1989,"male",55,6,142100,4.22,"Albania1989",NA,"2,335,124,988",833,"G.I. Generation",1.421,0.006
"Albania",1989,"male",15,12,323500,3.71,"Albania1989",NA,"2,335,124,988",833,"Generation X",3.235,0.012
"Albania",1989,"female",35,7,288600,2.43,"Albania1989",NA,"2,335,124,988",833,"Silent",2.886,0.007
"Albania",1989,"female",15,5,299900,1.67,"Albania1989",NA,"2,335,124,988",833,"Generation X",2.999,0.005
"Albania",1989,"female",25,2,266300,0.75,"Albania1989",NA,"2,335,124,988",833,"Boomers",2.663,0.002
"Albania",1989,"female",55,1,149600,0.67,"Albania1989",NA,"2,335,124,988",833,"G.I. Generation",1.496,0.001
"Albania",1989,"female",5,0,321900,0,"Albania1989",NA,"2,335,124,988",833,"Generation X",3.219,0
"Albania",1989,"female",75,0,37000,0,"Albania1989",NA,"2,335,124,988",833,"G.I. Generation",0.37,0
"Albania",1989,"male",5,0,349700,0,"Albania1989",NA,"2,335,124,988",833,"Generation X",3.497,0
"Albania",1992,"male",35,12,343800,3.49,"Albania1992",NA,"709,452,584",251,"Boomers",3.438,0.012
"Albania",1992,"male",15,9,263700,3.41,"Albania1992",NA,"709,452,584",251,"Generation X",2.637,0.009
